"Data Source","World Development Indicators",

"Last Updated Date","2018-01-19",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Aruba","ABW","Population ages 35-39, male (% of male population)","SP.POP.3539.MA.5Y","5.20453091483837","5.10632035906114","5.01559440052223","4.94422454120187","4.91104986218993","4.92684489694208","4.95911649145163","5.0283261198494","5.13331933655259","5.23971887829657","5.34824148435337","5.51652892561983","5.66929133858268","5.80900139688597","5.95662356175542","6.15827825792239","6.24597116200169","6.37233209653811","6.54275855000171","6.68993600930774","6.80072377180704","6.8706169326151","6.95308840259653","7.04406667766958","7.14612468958306","7.28468198684981","7.38827683154075","7.56013745704467","7.81729614306686","8.17936682312993","8.60106330930559","8.93545053086536","9.23122500370316","9.45437310062174","9.60519028404146","9.73344103392569","9.78954315465278","9.87188067692896","9.96213635615343","10.0090380292461","9.98015827764727","9.8246085612526","9.55898518225388","9.21831137983157","8.85429956621587","8.50884937150544","8.11306978199645","7.78370967406884","7.52316014175872","7.3129357247771","7.13504590941917","6.92291880781089","6.70444780883015","6.47669448402198","6.26177119828267","6.05480170171583","5.87987228146274","",
"Afghanistan","AFG","Population ages 35-39, male (% of male population)","SP.POP.3539.MA.5Y","5.76169995119755","5.75054767523493","5.75367196426716","5.76138939421846","5.76112704625644","5.74613227135536","5.68806121997611","5.62318496448608","5.55829274602698","5.50272213571212","5.46042740001029","5.40181735805886","5.35713477832133","5.32419675382435","5.30085765505542","5.28594122008984","5.23667504064247","5.19999090310344","5.17162640806974","5.14704534312059","5.12667586765421","5.06154828381535","5.00856871704539","4.97586822240082","4.96845265540086","4.98281844043283","4.98570099866898","5.00485462012768","5.02823023874803","5.03788187237324","5.01575630252101","4.95348095540826","4.89397209130641","4.83788677468696","4.79279507214003","4.76705875546198","4.73804144206741","4.70859372984335","4.68394524352963","4.66475065502306","4.64708004026677","4.62590525826592","4.6235976003337","4.63635228787385","4.66242159719503","4.70325722867775","4.73134329138945","4.75774469838967","4.78585476059307","4.81998795136708","4.86033227343832","4.91670924885028","4.99123179361771","5.0752399299228","5.15743711429965","5.23258552153943","5.30048554613024","",
"Angola","AGO","Population ages 35-39, male (% of male population)","SP.POP.3539.MA.5Y","5.40296442738189","5.36219959141536","5.31209523762773","5.26209735653796","5.22741444374261","5.21244093340138","5.15903557556857","5.12837348951876","5.1119175634294","5.09601067513554","5.07231556765486","5.01683141532336","4.96274054660309","4.907130441841","4.84855385079663","4.7855536617462","4.69315277811636","4.61268458030974","4.53745462545375","4.45808079994619","4.37246050644242","4.26003996242788","4.14379102829455","4.05751688486324","4.04784658327838","4.13312968997864","4.2721768521713","4.48840163353833","4.7289333988193","4.92245701442127","5.03129615256196","5.03987173261987","4.99085749315633","4.91213088798156","4.84331394162617","4.80578827113481","4.76620224388302","4.75209842897082","4.75395862905429","4.75719315300269","4.75278407636779","4.72672066484809","4.70147971871777","4.68142126136496","4.67355494163195","4.68070506021716","4.68333651861035","4.69957546854608","4.72604815068498","4.75926585963319","4.79634066385425","4.8266268865955","4.86499346267343","4.90346793516317","4.93251741759317","4.94797585069919","4.94741002580385","",
"Albania","ALB","Population ages 35-39, male (% of male population)","SP.POP.3539.MA.5Y","4.79722453418693","4.90510212193798","5.10700851261242","5.34656322586035","5.54744802428536","5.66950107570945","5.72177655801856","5.71096499837713","5.66960477679841","5.64702835446082","5.66905383316325","5.73331674954152","5.82686464237226","5.92730422940663","6.00145870504901","6.0307936896961","6.01466035991404","5.9706493901568","5.90631025873414","5.83315628837773","5.76113662140564","5.6959478005373","5.63049292550281","5.57997977866128","5.56337626331282","5.59001317683949","5.65739908017577","5.76103667637627","5.89404134527131","6.04879192186882","6.22127205339404","6.33593457450384","6.43809278887072","6.51520390265982","6.54567748425275","6.5073755880395","6.79203252309999","7.03869937119395","7.22522803843717","7.33260805063792","7.35415111059275","7.19407020710729","6.979871732249","6.73868079822288","6.50359183495162","6.28798555447899","6.10967426094811","5.98502769005628","5.90494696958575","5.83354712120324","5.73642990521183","5.7019256276485","5.69351145142098","5.74992520466723","5.9035719375878","6.15109627086993","6.22794236574916","",
"Andorra","AND","Population ages 35-39, male (% of male population)","SP.POP.3539.MA.5Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Population ages 35-39, male (% of male population)","SP.POP.3539.MA.5Y","5.38542589966389","5.39048559871055","5.40120647907038","5.41305942707283","5.41953637113703","5.41542488858897","5.3828542638698","5.3458365096581","5.30138581080889","5.24599778448651","5.17864417644602","5.10348293612011","5.0290108421001","4.95533689746442","4.87868088281838","4.79500322110177","4.70093904620145","4.60867297505557","4.53136888971017","4.48916583802238","4.49302658872394","4.52938732209795","4.60953438004485","4.72474099500355","4.86244426128237","5.01164322379427","5.10085099082765","5.20817760664829","5.32454872333617","5.43428780467435","5.51591492087503","5.60629931378639","5.640442966345","5.70756780547672","5.78093983812157","5.90311176962932","5.94025043662239","5.98096730329957","6.02053538122546","6.05486536762229","6.08573009004205","6.12553685859265","6.16413694644088","6.20223368027337","6.247049829554","6.30790467834362","6.38210259347545","6.48029845372923","6.59908799862955","6.73302689523237","6.87460844045259","6.98981597033825","7.09956929133637","7.19895770007618","7.28703593098146","7.36664543818164","7.39943018877651","",
"United Arab Emirates","ARE","Population ages 35-39, male (% of male population)","SP.POP.3539.MA.5Y","5.19673828630598","5.34795170579569","5.62193247731892","5.97432239657632","6.37153236044597","6.80099897831763","6.99590206998004","7.22287128032438","7.4808939898402","7.77069759671607","8.09447466745373","8.0512260498362","8.25380344002528","8.5734969279602","8.9489337545661","9.3374566338795","9.40798521289626","9.5364845735856","9.70788300645202","10.0038934395544","10.4763690043818","10.86334380731","11.2504411011874","11.5747397860243","11.8242579577574","12.0217202768617","12.2899242161656","12.5835513505885","12.8818681573361","13.1498449645478","13.3656244162535","13.2168439080274","13.1564993673433","13.1457595218902","13.1799390845057","13.2995974811219","13.1243449395154","13.0700223164992","13.1169771526779","13.2505353319058","13.433435821525","13.014207999432","12.871562697924","12.9774398577738","13.3414696473427","13.9582459183007","14.0458792699392","14.5511803851693","15.3324268400828","16.2379016014494","17.1508867418249","17.2181986518073","17.0646319636996","16.7070701488942","16.276073701493","15.9560298461938","15.5547282347539","",
"Argentina","ARG","Population ages 35-39, male (% of male population)","SP.POP.3539.MA.5Y","7.10050892893809","7.1300851265673","7.15250609980072","7.16154269427459","7.14943779918434","7.11241788910293","7.04557435277278","6.95799262393689","6.85740194199271","6.75480603508108","6.65744694584687","6.5598691772803","6.46899776398613","6.38884246160658","6.32374383641323","6.27612800784019","6.23622870698816","6.2041281533839","6.18157242455456","6.17298400884265","6.1802654684657","6.19840154138503","6.24613577963753","6.30783996369624","6.36241334902563","6.39893537942972","6.43735934013184","6.4527083776465","6.45379413396661","6.45372979803054","6.45814021818753","6.44799658962594","6.44184721540727","6.436768901151","6.42782921190326","6.41371338838607","6.39208932814007","6.37060209290846","6.34843461225259","6.32505678910795","6.30095774037008","6.28354821647862","6.2654688672852","6.25353415582681","6.25681995930286","6.28061858351206","6.31572571932831","6.36539961844674","6.43743168786122","6.54373252927995","6.68810079213259","6.87048780090407","7.09280107501087","7.31606750902388","7.48382380822156","7.5640471308032","7.56058791938152","",
"Armenia","ARM","Population ages 35-39, male (% of male population)","SP.POP.3539.MA.5Y","4.20010609069093","4.95545585711724","5.86562304746004","6.76590309289623","7.43883165872622","7.78202290506383","7.83305339642229","7.58705954355589","7.2056097846512","6.92011854022376","6.84921389824015","6.96843943918026","7.27535868854284","7.60977644260556","7.73258405537087","7.52307355878055","6.96693224743255","6.10602709389146","5.11648081174086","4.28771328919613","3.81120681258436","3.73091309360475","3.95671577367953","4.37700123357319","4.82761845969658","5.21849564163251","5.58268542846907","5.92005504430163","6.2498315275035","6.6087412896649","7.01313439207003","7.40215600332965","7.80764141081496","8.18499828389799","8.46727401091069","8.60943534639445","8.64660874891095","8.56544620440212","8.37806639583919","8.09980142004314","7.73832533265228","7.35849807643559","6.90618882952031","6.446715933713","6.06257557222259","5.79648012509024","5.63549255536991","5.58606628523614","5.61502582995512","5.67511609334793","5.73959223084636","5.82797606840655","5.94863201687227","6.09970713387682","6.28346958742676","6.50040853249292","6.73637520450827","",
"American Samoa","ASM","Population ages 35-39, male (% of male population)","SP.POP.3539.MA.5Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
