"Data Source","World Development Indicators",

"Last Updated Date","2018-01-19",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Aruba","ABW","Population ages 50-54, female (% of female population)","SP.POP.5054.FE.5Y","4.05645015379048","4.08112699985842","4.05094207955338","3.97799993081739","3.91172831018837","3.86113578897014","3.81311330684866","3.77383966244726","3.75180375180375","3.72099226460389","3.67768868862236","3.6346293007039","3.56734880381214","3.49684312773191","3.43484419263456","3.39347630666495","3.39429783677799","3.39797992836168","3.41841533421983","3.48629223714592","3.61942478737908","3.86226001803891","4.1932920044508","4.5428911585939","4.84141269939793","5.04612717478794","5.16284002994759","5.24798885158675","5.33440514469453","5.42040394915145","5.48693360429302","5.38630941457148","5.32115412498188","5.31014524407557","5.3908425286171","5.53453866561855","5.52718676122932","5.56931260604393","5.68153890837597","5.84848881329321","6.05074544333142","6.2405438454683","6.43154365127459","6.63629550743502","6.86441333436461","7.11289892095932","7.44507883691912","7.73476499952906","7.95751972433013","8.13594426661646","8.29887218045113","8.51043909746278","8.75167585282288","8.98026376634667","9.11446369834065","9.11914069635746","9.01126862958924","",
"Afghanistan","AFG","Population ages 50-54, female (% of female population)","SP.POP.5054.FE.5Y","3.08811668590605","3.0587645690062","3.04081663271826","3.03054643806987","3.0234639406164","3.0173782914479","2.99471623993508","2.97729148330451","2.96393710980019","2.95448287232983","2.94815519487226","2.926029139035","2.90986090951054","2.89862945908982","2.89182104748023","2.88946227180773","2.8692672447371","2.8492776034512","2.82913385536528","2.81075965704789","2.79701152468573","2.74962039591127","2.69676690416831","2.63858513063069","2.57385745308534","2.5006708617716","2.47117363522254","2.45491201844511","2.44536814473469","2.43250872448407","2.40876875288302","2.43325925817051","2.44855475246833","2.46558305527919","2.50125298905437","2.56174861533408","2.61298115900673","2.68642868855143","2.7611931475592","2.80741579766718","2.81002690633569","2.76080743140122","2.68506425078912","2.60010709769902","2.52889637827593","2.48273155091703","2.45491237439782","2.44402258306298","2.44476235652413","2.44970331136633","2.45516181104071","2.45244341198212","2.45573944334668","2.46453516006562","2.47848825508976","2.49742014816415","2.52395140024418","",
"Angola","AGO","Population ages 50-54, female (% of female population)","SP.POP.5054.FE.5Y","3.21747224712128","3.22538638850415","3.23249012552732","3.24025415825944","3.25278560966445","3.27027081326856","3.25563936697342","3.25014523676554","3.25006533702705","3.24904641746376","3.24308477844277","3.21389512502375","3.18446733271271","3.15615602170236","3.13225815381032","3.11338744656685","3.07675649109934","3.04930595240555","3.02541587362632","2.99818740769887","2.96375981911884","2.90529994230109","2.84785661543524","2.7929307602535","2.74393847766835","2.70270968017948","2.6507067470467","2.60612827867723","2.56740908243502","2.53166567453785","2.4964688686522","2.44774764637252","2.40985737197086","2.37693288410305","2.34198595763554","2.30345239661448","2.24812805822407","2.18732809143835","2.14197240552828","2.14019448400071","2.19252687253111","2.28015092229588","2.41240846546503","2.5564137900507","2.66989825735249","2.73224918400679","2.74193831804611","2.7155065616837","2.67030063422057","2.62989452471541","2.6064065619237","2.58724881874355","2.5820968239665","2.58518701559781","2.5887005577303","2.58909426752848","2.58434331440822","",
"Albania","ALB","Population ages 50-54, female (% of female population)","SP.POP.5054.FE.5Y","3.74996378276715","3.73278204919746","3.67327331601608","3.5898575129981","3.51068800765521","3.45109061898116","3.3987799522774","3.36273548275318","3.33905737420439","3.32177736148788","3.30790413777966","3.3001499429992","3.29464770601605","3.29422443143495","3.30251417602638","3.32110853367314","3.34069805531229","3.37358837461888","3.41131103751769","3.4422845171291","3.46130071374546","3.4700678618805","3.46551525720811","3.46114099051115","3.47659805022115","3.52101651757945","3.58925495706838","3.68286249323076","3.78382314278792","3.86727823369862","3.92131508013106","3.97992851678227","4.01568973883615","4.03603542749853","4.05249315399789","4.07224157440483","4.04319679211544","4.03055225377338","4.04673457776954","4.1035305423625","4.20296320950258","4.37596599690881","4.58083356831935","4.81090392060544","5.05468593868011","5.30377052213042","5.59642867685889","5.88818210301586","6.17466853485575","6.44770050334378","6.69466433512021","6.93270113415489","7.14783386548003","7.3181375026583","7.43098056718988","7.48725204440523","7.38933224176718","",
"Andorra","AND","Population ages 50-54, female (% of female population)","SP.POP.5054.FE.5Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Population ages 50-54, female (% of female population)","SP.POP.5054.FE.5Y","3.46145107726161","3.41428748041556","3.36199979965471","3.31052773661483","3.26774727889554","3.23686239268212","3.2019665848423","3.18086096532765","3.17061095090742","3.1669801560227","3.16704594298491","3.1561500541934","3.15194461925221","3.1556299677909","3.16827929805405","3.18844032916152","3.19658892983348","3.21098305449643","3.22678402848937","3.23810727799263","3.24174847339711","3.2177176524261","3.18949849917779","3.15848423372222","3.1249805898071","3.08857832145331","3.04409015169819","2.99947657596849","2.95536340444173","2.9127799889232","2.86950807520015","2.83330951708236","2.80481802228544","2.78017054493159","2.76765241093646","2.76808716613079","2.77883935828193","2.80223702616192","2.83967873355617","2.89225412387531","2.95888772439697","3.03123062397285","3.11571271845957","3.20491457347058","3.2877585445557","3.35715579073228","3.41250979077325","3.45742963689706","3.49711238693607","3.53954808121671","3.58897071905602","3.64505274357308","3.70688598416515","3.77244248860489","3.83973592853859","3.90804741652009","3.96444752453931","",
"United Arab Emirates","ARE","Population ages 50-54, female (% of female population)","SP.POP.5054.FE.5Y","3.1352636127917","2.89887732524789","2.71201447434269","2.58351812789587","2.49601519313596","2.42637376754344","2.35641775504892","2.30756864980198","2.28139509175326","2.2801469741003","2.30147067331613","2.25039489609617","2.34972628475375","2.58113479172535","2.8171692474871","2.93321219772635","2.53828489820661","2.19430101873447","1.96591516399121","1.85226880941157","1.79469701273045","1.68229099781687","1.62602893894854","1.64234360165833","1.69608609099055","1.73267530500354","1.69893574860081","1.62089683657494","1.54192960387016","1.51450564606783","1.56282246111705","1.58378663183751","1.64625806260767","1.72550835255769","1.79192975482477","1.82819870910608","1.8362822847634","1.84539331149352","1.87378702894069","1.91210831879356","1.93248255607602","1.98027188174319","2.01269155700278","2.0524676715374","2.12499374324171","2.23790967901075","2.23983969040343","2.26457842786626","2.30610166827767","2.37242727365623","2.48170745872948","2.71649745837096","2.9791171571325","3.25686359148565","3.53037954912272","3.78856903792228","4.01212381883659","",
"Argentina","ARG","Population ages 50-54, female (% of female population)","SP.POP.5054.FE.5Y","5.02364637521609","5.06893711082991","5.10906419233949","5.14191452320384","5.16492795823638","5.1774876042251","5.1715066397217","5.15639900627587","5.14027613637945","5.13445090776693","5.14463501964227","5.15723299408538","5.18237415844498","5.21444524719802","5.24503709296579","5.26812362873472","5.28490060094061","5.29553682429779","5.29586533063897","5.28146021376985","5.25065905085866","5.18377589678664","5.11143913985412","5.03464455730737","4.95553852506848","4.87746433837474","4.8104735134259","4.73989405867278","4.67426532361816","4.62409784157222","4.59369606635346","4.57250882409215","4.57195319805102","4.58818456578173","4.61530300614823","4.65009730356994","4.69013857955746","4.73894552880678","4.79335812663957","4.85003308800897","4.90618049291435","4.9608718641064","5.01278665341543","5.05978625020492","5.09908394304976","5.12880625654893","5.14230393299861","5.14875227256777","5.14907827520732","5.14503788227708","5.13832342383576","5.12786968135785","5.11710894928353","5.1060177751052","5.09433927024302","5.08237437732692","5.06716043334913","",
"Armenia","ARM","Population ages 50-54, female (% of female population)","SP.POP.5054.FE.5Y","4.31647268042883","4.27209345621331","4.27396537090968","4.26749660543224","4.17575991824446","3.96719195642006","3.66350334748502","3.27089528052968","2.86758355898178","2.56346034649753","2.42005032071139","2.44690607839067","2.60821121544087","2.88698796776432","3.25022625262319","3.66072824686082","4.08256663989146","4.56553853040128","5.0332470109549","5.37477872430166","5.52916700984001","5.51363544304738","5.31109101794944","5.03410957871731","4.84891906675863","4.83752330800296","4.96456922055739","5.26566014654032","5.60081506037598","5.76195979907791","5.64325147284169","5.3216615275633","4.72704574462968","3.99531116527345","3.36505476260051","2.99433660302481","2.87276916629251","3.01491926897814","3.34851633371518","3.74584989863955","4.12784157890601","4.56854014909689","4.97791604804464","5.34866841256673","5.71004953117117","6.0917420969188","6.46779779475299","6.88354346767281","7.30523536150466","7.65902933552745","7.88806747147864","8.0193495669227","8.03473867664049","7.94498171263455","7.77586002245525","7.54891847406052","7.26544899317035","",
"American Samoa","ASM","Population ages 50-54, female (% of female population)","SP.POP.5054.FE.5Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
