"Data Source","World Development Indicators",

"Last Updated Date","2018-01-19",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Aruba","ABW","Population ages 45-49, male (% of male population)","SP.POP.4549.MA.5Y","4.5798366763256","4.46619086159959","4.37005875099732","4.30730478589421","4.24884561692379","4.1935139368481","4.14144632048423","4.10288891234737","4.08356078102037","4.07069793333797","4.06743284408751","4.03925619834711","4.02601848681958","4.04415522469422","4.12381631198452","4.26029486527707","4.39355385920271","4.59202777683222","4.84129966859134","5.0953016459638","5.29172783448841","5.30541721719687","5.22652747105668","5.08994883644166","4.96993857012155","4.91829958987045","5.02795122429632","5.17116045466561","5.30828773521954","5.4096341422817","5.48615414723246","5.66882771148486","5.89246037624056","6.13098391278891","6.38763615264921","6.65892568659128","6.82457040893647","7.00114733722153","7.16351920227652","7.31848624597344","7.47371541952699","7.66749546401451","7.88154597018863","8.10624055279637","8.34396529726971","8.58452095682516","8.79732971732554","8.98232202580028","9.12312698182421","9.16444278946606","9.07665325492624","8.90236382322713","8.61941977986006","8.27396702625687","7.94264768423824","7.67385124100248","7.4622969255176","",
"Afghanistan","AFG","Population ages 45-49, male (% of male population)","SP.POP.4549.MA.5Y","3.93977059623514","3.91528584841026","3.89564765762958","3.88046197015098","3.86958871849079","3.86237192434977","3.83901869563294","3.82033292062182","3.80690296063133","3.79971130148747","3.79788548578211","3.78297716992924","3.7763164619214","3.77211565221839","3.76302919468599","3.74618980755452","3.69352566656025","3.62940568800025","3.56071762312982","3.4986844338571","3.45164687088742","3.35819732755092","3.27144978011143","3.19382560819377","3.12370348504845","3.05771940552469","3.05992553854959","3.07931346275356","3.10697219193372","3.13007799062384","3.13793880249548","3.17903389315396","3.19980754542028","3.20200044486846","3.19498547657785","3.18904562094688","3.16949740275277","3.15314921595398","3.14196402893522","3.13375556824626","3.12440562435923","3.1018808749865","3.08250420095014","3.06388784861066","3.04728874874914","3.03630604277226","3.02839747543123","3.02779804582083","3.03612048686018","3.05319775634842","3.0769798425322","3.09601954849783","3.1226345165766","3.15450259483397","3.1900353435154","3.2295578541803","3.27533723457017","",
"Angola","AGO","Population ages 45-49, male (% of male population)","SP.POP.4549.MA.5Y","3.80137439578034","3.77813846892686","3.74949771772753","3.71984859134104","3.69758515135319","3.68522556316233","3.64344632722358","3.6150015646515","3.59556328770143","3.57815529898294","3.55904395289755","3.52080437601983","3.48531920271769","3.4529195124859","3.4258201246905","3.40458776205454","3.36616737008028","3.33640741517915","3.31155355113115","3.28779758041671","3.26258251671187","3.21748891826117","3.17837041047831","3.14175457561873","3.10433900028405","3.0655060717972","3.00931362798456","2.95829496200486","2.91027682622802","2.86092686373441","2.80899962040319","2.73669665872599","2.66234594943013","2.60809977616553","2.60467766535437","2.66421687801114","2.7594792933458","2.90684007611735","3.06973362376414","3.19966576478248","3.2716195990213","3.28254766533659","3.25237667409447","3.20067088140867","3.1541048525224","3.12626350564586","3.09876468798874","3.08661505375171","3.08361709822237","3.08137995090632","3.07598666049978","3.06050174558095","3.04750761168801","3.03949715866877","3.04034230672327","3.05178948527941","3.06560283449451","",
"Albania","ALB","Population ages 45-49, male (% of male population)","SP.POP.4549.MA.5Y","4.09017889263948","4.04950612547282","4.0130567712438","3.9727648790183","3.91728983434996","3.8443806986989","3.74939665798386","3.63854396047571","3.54231826367169","3.50354026092949","3.54254906033541","3.65037485544314","3.82587332715557","4.02959944178709","4.20626254218501","4.32519284350653","4.38335610538041","4.39363511634389","4.38107217177486","4.38343569862927","4.42078255850044","4.48304697866313","4.57378527477191","4.67228005184116","4.74800874039614","4.78371140423615","4.78295796780935","4.7532399251472","4.70480254320222","4.65400238105631","4.61295330282506","4.59425918635801","4.56657910689028","4.5383507993286","4.52109110509907","4.51951761470122","4.71260716437581","4.96656286624886","5.26691691000659","5.59996937222635","5.95641806106137","6.17359745916653","6.39524483154549","6.60946609325781","6.79872490180433","6.95022305583909","7.05126319718007","7.1183850615019","7.14198965149535","7.11156090732245","7.02239061403895","6.92280484569812","6.76697154775941","6.58355318628118","6.41862864201217","6.30239716722442","6.1497107256526","",
"Andorra","AND","Population ages 45-49, male (% of male population)","SP.POP.4549.MA.5Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Population ages 45-49, male (% of male population)","SP.POP.4549.MA.5Y","3.81448669259837","3.77605724205097","3.74708522318636","3.72727214026862","3.71534664292285","3.70905597279709","3.690356283296","3.67898882597042","3.6744780769421","3.67773731305444","3.6886343690536","3.69902519850005","3.72115499849656","3.74832040076403","3.77171331264979","3.7849971790415","3.76310393345492","3.73508082687657","3.7016694351703","3.66551163599663","3.62912467446034","3.57091838255904","3.51614733238695","3.46202728722943","3.40725705106028","3.35475911991041","3.2903601160047","3.22997270328527","3.18257591322625","3.15882867704383","3.16102453252224","3.1923509934512","3.22839911572082","3.30296016282534","3.39660780381026","3.52254174553425","3.6255918068771","3.74553114714994","3.87181175938467","3.98883955793411","4.08781623665688","4.15931428599949","4.21391488891458","4.26108881493822","4.31312310885683","4.37693234355965","4.42997261983397","4.49857680629338","4.57761454260337","4.65838937286258","4.73546899741673","4.79508346037387","4.8446540356619","4.89017195075656","4.94233065049348","5.00814800178578","5.05839422200598","",
"United Arab Emirates","ARE","Population ages 45-49, male (% of male population)","SP.POP.4549.MA.5Y","3.67805677797912","3.36758318504487","3.19766000694066","3.1169757489301","3.11223399575147","3.18537859007833","3.22895870547441","3.3164141885192","3.42599861047199","3.56554736163815","3.74705689006352","3.78955844556956","3.77725610581915","3.67568169584022","3.58839717642413","3.62651212952015","3.50464086883078","3.43935980760742","3.36975971263572","3.34251785741026","3.44751064425114","3.76894433477269","4.06198279332608","4.24881241207772","4.33195975881172","4.39819034519331","4.66117180636115","5.01668313104029","5.4381622493534","5.87802484572645","6.30167692968169","6.22500973959599","6.12543890105133","6.04869723159574","6.06026255070353","6.2012373090986","6.22484187993742","6.24340409287481","6.22320893896611","6.19949205716847","6.26068694170196","6.20142346227914","6.16355528207433","6.11664095960537","6.07781242721233","6.10742802440473","5.98670214824385","6.08253303199877","6.32517489407824","6.66096503161209","7.06459104284695","7.44048918031528","7.71470201940388","7.92652052138512","8.15391394316061","8.44980442058618","8.84908556587631","",
"Argentina","ARG","Population ages 45-49, male (% of male population)","SP.POP.4549.MA.5Y","5.80722394496806","5.76443175671016","5.7192951967854","5.68145634645759","5.6645702370341","5.67514590081413","5.69239238450267","5.7335269830058","5.78849854366798","5.84300084289832","5.88760358461148","5.90634534259011","5.91936374472319","5.92119639247859","5.90450170013967","5.8655623301742","5.80932526221695","5.72964361061998","5.63624297842999","5.54367091046097","5.46083265155352","5.35536413428964","5.27175135173696","5.2059262461233","5.15266860435129","5.11043042069876","5.0852767661194","5.06552845308594","5.05664069734817","5.06584933042301","5.09461928105237","5.12354493042439","5.17245487496606","5.23279577727858","5.29214490087531","5.34371699628214","5.38175895472545","5.41428622643087","5.4410748878991","5.46345259375911","5.48198275437485","5.49309768629679","5.49863656813655","5.49999890610257","5.49904406425421","5.49665228986924","5.48159598465928","5.47024451825999","5.4612348024872","5.45239051991119","5.4436228178464","5.43193831617593","5.42318743909311","5.42208035580431","5.43544580695791","5.46733490187484","5.50599340811788","",
"Armenia","ARM","Population ages 45-49, male (% of male population)","SP.POP.4549.MA.5Y","3.43764846329074","3.08714174727442","2.69266519195752","2.32084014651869","2.05759417982704","1.94774054833222","1.96260018774897","2.0823692734845","2.31832588330096","2.68521909962706","3.17695161976243","3.78870838371193","4.51594248613411","5.23744473021697","5.79271109849501","6.10064459695674","6.19114003248328","6.03281166761033","5.74750133960814","5.52000220977949","5.45266487632247","5.54902733072842","5.81280927398013","6.09862382853269","6.19488560899414","5.99676239067234","5.54994027937291","4.85493830094688","4.07609682920112","3.45486684882536","3.128216462339","3.02646294107117","3.17578387001263","3.50862030372519","3.89715045755642","4.25606326451069","4.6078783392809","4.94486500262999","5.27901456570098","5.63488721058229","6.01664632085495","6.41909751343772","6.82533588712592","7.20934217141181","7.51809835126749","7.71042637395247","7.76987638195509","7.71993692377757","7.56705444611216","7.33532491348457","7.05373788390835","6.70564615599523","6.32199107049597","5.93853496190677","5.60878280083695","5.36767924363127","5.21032539538266","",
"American Samoa","ASM","Population ages 45-49, male (% of male population)","SP.POP.4549.MA.5Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Population ages 45-49, male (% of male population)","SP.POP.4549.MA.5Y","4.61119423025281","4.5092536407767","4.32679787194464","4.08534147493912","3.82515598411798","3.56463055892023","3.3093086996244","3.03792441591105","2.79659094591529","2.64955364234203","2.6328103066413","2.72177728681457","2.94340079257041","3.20191158900836","3.37768075754447","3.39150957139943","3.28883006272659","3.04959499786841","2.76746540668242","2.57026317259876","2.52825449979071","2.64544333594888","2.88420754983741","3.19097132708888","3.50300880839559","3.75999763893398","3.91104983966194","4.02410812127116","4.09856288163819","4.11154586671635","4.04638615856873","4.1413583655439","4.19462582372943","4.22307714898241","4.29728878582267","4.435686734865","4.61172351541344","4.85116653258246","5.13265950726469","5.4072216909199","5.65371921807565","5.72525746203526","5.78289634893409","5.83813218321567","5.8898878003653","5.93693756866045","6.06067597185373","6.15114636036282","6.25760511965388","6.43665864313096","6.72956113474552","7.09598657103616","7.56262665459406","8.03845497953615","8.36918016194332","8.46891948268669","8.35001547827881","",
"Australia","AUS","Population ages 45-49, male (% of male population)","SP.POP.4549.MA.5Y","6.37997314809275","6.2636011672017","6.10347829504443","5.94003347272108","5.8290518082391","5.79885695473688","5.81025918726185","5.90232859259865","6.03793302346718","6.16179585002055","6.24046294558141","6.24336018638095","6.20509000527791","6.1331398252194","6.03614834872645","5.92189868574513","5.76072055836597","5.58460797591324","5.41292915498192","5.2708709253775","5.17197922959005","5.12614447525578","5.12008707445292","5.14967238668653","5.20502938654734","5.27813089457987","5.34121859020689","5.41701793047688","5.51671098088509","5.65982575179055","5.85565150733654","6.09540163975562","6.38328848404031","6.67634684412775","6.9165930989595","7.07371940328243","7.1763348958484","7.18520480583064","7.12329176546883","7.04659358902288","7.00014981824681","6.97818360749652","6.99405573486886","7.04184838383224","7.10642997922987","7.17441840779751","7.21129621250412","7.24706289319294","7.25495678457883","7.21209530466901","7.11923577206961","6.99797603402876","6.84290324912331","6.68576696214339","6.56756196891037","6.50611805132857","6.48356329058638","",
"Austria","AUT","Population ages 45-49, male (% of male population)","SP.POP.4549.MA.5Y","6.26896849059697","5.77682536023889","5.17862839632094","4.58518853661248","4.16696778083333","4.02025378411869","4.11289516387764","4.46000725490666","4.94914511795139","5.40959955419286","5.7391397451084","5.94604538890244","6.05191521094935","6.08074758882838","6.07522260679436","6.06276739582495","6.02233314345207","5.95262920869725","5.88113215608958","5.84643975672316","5.87121154263265","5.9314477555367","6.04533711434021","6.20390898135331","6.39317789392276","6.60145449784135","6.79824102130549","7.02761843163093","7.25081813963738","7.41167385551571","7.47806773593643","7.36705990194939","7.17345898646147","6.93155537243685","6.69772409461896","6.51225879658633","6.41197659176996","6.3414622854193","6.31771496505701","6.36092844723799","6.48168575049969","6.64518977246834","6.87748646049502","7.1533474037809","7.43750655818952","7.70569425823499","7.96900330862723","8.21671983131087","8.43665639349627","8.6137826409925","8.73779656774122","8.78163983690087","8.78011604887443","8.72608222247457","8.60850712637309","8.42314221075296","8.18849439741622","",
"Azerbaijan","AZE","Population ages 45-49, male (% of male population)","SP.POP.4549.MA.5Y","3.48509943549279","3.19739545861564","2.83645969988677","2.476671685993","2.21172306731839","2.08890627365871","2.07096474344667","2.15476188447849","2.34094734550844","2.63094042091151","3.01629221620571","3.47345710484102","4.01043899000867","4.54768759113172","4.98241950364882","5.26207013712979","5.37794948196308","5.35033542827912","5.24893994294966","5.17503430723647","5.1839025242524","5.28855799132726","5.46299973322093","5.61240432540027","5.60863900799413","5.39541458295407","5.001273369951","4.44964011091372","3.84877559888219","3.34548287247688","3.01746630191944","2.802563958542","2.73897935918653","2.80105502941182","2.95021241763887","3.16098333276715","3.42643338734669","3.75428279080343","4.12096382120937","4.49720752737579","4.86385971891914","5.23130845139184","5.57464352780557","5.89682330936934","6.20694965088134","6.50783051952204","6.77471200709686","7.0422505794649","7.27699056939437","7.42494616372386","7.45455398662373","7.35267306699846","7.14044379508721","6.86455684639437","6.59640136659964","6.37934979173653","6.18389937247191","",
"Burundi","BDI","Population ages 45-49, male (% of male population)","SP.POP.4549.MA.5Y","3.81742676883154","3.7976658234861","3.76888858389323","3.73701200196471","3.71132323332796","3.69477798542366","3.6537774713594","3.62349360932893","3.60026652541399","3.57982741429127","3.56148033797703","3.51376203892149","3.46079566054048","3.40331015869141","3.34396836491089","3.28601845678953","3.2569926839828","3.23614271178298","3.21819695803864","3.19625269052626","3.16519438612666","3.1232748757422","3.08322546663657","3.04299414032597","3.00058005556797","2.95514893710326","2.88939722097928","2.82663083574794","2.76877513077091","2.71680628916511","2.67226727363446","2.61333163730918","2.5553539230408","2.51553862611002","2.51887660980639","2.57600431316204","2.69975590242351","2.86722449087726","3.04925304442587","3.20909455309247","3.32795024806556","3.43693853431566","3.52179656857864","3.58317630346973","3.62064055287276","3.63326628549014","3.61434002222742","3.57209121148908","3.51721278095057","3.46647791298942","3.43108161754475","3.34883130241485","3.28485642065141","3.22741970087692","3.16026405564444","3.07777923111648","2.98705869308987","",
